Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2017-07-24T15:00:00Z,TQQQ,9.0945909803999,-39014,Market,Filled,-354816.37250932,Warning: No quote information available at 07/24/2017 11:00:00 America/New_York, order filled using TradeBar data 
2017-10-30T15:00:00Z,TQQQ,10.492823550916,-38496,Market,Filled,-403931.73541606,Warning: No quote information available at 10/30/2017 11:00:00 America/New_York, order filled using TradeBar data 
2018-01-08T16:00:00Z,TQQQ,12.71378427162,-50125,Market,Filled,-637278.43661494,Warning: No quote information available at 01/08/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-01-29T16:00:00Z,TQQQ,14.548103290215,-35861,Market,Filled,-521709.53209042,Warning: No quote information available at 01/29/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-02-12T16:00:00Z,TQQQ,11.38282897841,78532,Market,Filled,893916.32533247,Warning: No quote information available at 02/12/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-02-20T16:00:00Z,TQQQ,13.103668252152,-37633,Market,Filled,-493130.34733324,Warning: No quote information available at 02/20/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-03-12T15:00:00Z,TQQQ,15.049035306783,-36799,Market,Filled,-553789.45025431,Warning: No quote information available at 03/12/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-03-26T15:00:00Z,TQQQ,11.887003273402,-5654733,Market,Filled,-67217829.681212,Warning: No quote information available at 03/26/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-03-26T15:00:00Z,SHY,75.871156964,897674,Market,Filled,68107564.956502,Warning: No quote information available at 03/26/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-04-02T15:00:00Z,SHY,75.947892275,-897674,Market,Filled,-68176448.250068,Warning: No quote information available at 04/02/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-04-02T15:00:00Z,TQQQ,10.898108353964,6250303,Market,Filled,68116479.339107,Warning: No quote information available at 04/02/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-05-07T15:00:00Z,TQQQ,12.807810345927,-46947,Market,Filled,-601288.27231023,Warning: No quote information available at 05/07/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-06-11T15:00:00Z,TQQQ,14.67537739375,-39485,Market,Filled,-579457.27639222,Warning: No quote information available at 06/11/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-08-27T15:00:00Z,TQQQ,16.9393005675,-41201,Market,Filled,-697916.12268157,Warning: No quote information available at 08/27/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-10-15T15:00:00Z,TQQQ,13.73430514,-6122670,Market,Filled,-84090618.051524,Warning: No quote information available at 10/15/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-10-15T15:00:00Z,SHY,76.190662349,1116494,Market,Filled,85066417.368684,Warning: No quote information available at 10/15/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-11-12T16:00:00Z,SHY,76.305962145,-1116494,Market,Filled,-85195148.89912,Warning: No quote information available at 11/12/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-11-12T16:00:00Z,TQQQ,12.08317320125,7045021,Market,Filled,85126208.949443,Warning: No quote information available at 11/12/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-11-19T16:00:00Z,TQQQ,11.49469907875,-7045021,Market,Filled,-80980396.398474,Warning: No quote information available at 11/19/2018 11:00:00 America/New_York, order filled using TradeBar data 
2018-11-19T16:00:00Z,SHY,76.508340827,1061026,Market,Filled,81177338.834309,Warning: No quote information available at 11/19/2018 11:00:00 America/New_York, order filled using TradeBar data 
2019-02-19T16:00:00Z,SHY,77.265164835,-1061026,Market,Filled,-81980348.784221,Warning: No quote information available at 02/19/2019 11:00:00 America/New_York, order filled using TradeBar data 
2019-02-19T16:00:00Z,TQQQ,12.23577575625,6691440,Market,Filled,81874959.326402,Warning: No quote information available at 02/19/2019 11:00:00 America/New_York, order filled using TradeBar data 
2019-03-11T15:00:00Z,TQQQ,12.48901370225,-6691440,Market,Filled,-83569485.847784,Warning: No quote information available at 03/11/2019 11:00:00 America/New_York, order filled using TradeBar data 
2019-03-11T15:00:00Z,SHY,77.389325772,1078632,Market,Filled,83474603.236104,Warning: No quote information available at 03/11/2019 11:00:00 America/New_York, order filled using TradeBar data 
2019-03-18T15:00:00Z,SHY,77.463285228,-1078632,Market,Filled,-83554378.272048,Warning: No quote information available at 03/18/2019 11:00:00 America/New_York, order filled using TradeBar data 
2019-03-18T15:00:00Z,TQQQ,13.68702398525,6099910,Market,Filled,83489614.477866,Warning: No quote information available at 03/18/2019 11:00:00 America/New_York, order filled using TradeBar data 
2019-04-29T15:00:00Z,TQQQ,16.471258272,-51880,Market,Filled,-854528.87915136,Warning: No quote information available at 04/29/2019 11:00:00 America/New_York, order filled using TradeBar data 
2019-05-13T15:00:00Z,TQQQ,13.596948192,63903,Market,Filled,868885.78031338,Warning: No quote information available at 05/13/2019 11:00:00 America/New_York, order filled using TradeBar data 
2019-06-03T15:00:00Z,TQQQ,11.999026656,-6111933,Market,Filled,-73337246.986686,Warning: No quote information available at 06/03/2019 11:00:00 America/New_York, order filled using TradeBar data 
2019-06-03T15:00:00Z,SHY,78.518796992,940171,Market,Filled,73821095.886766,Warning: No quote information available at 06/03/2019 11:00:00 America/New_York, order filled using TradeBar data 
2019-06-10T15:00:00Z,SHY,78.5745896,-940171,Market,Filled,-73873550.478822,Warning: No quote information available at 06/10/2019 11:00:00 America/New_York, order filled using TradeBar data 
2019-06-10T15:00:00Z,TQQQ,14.35937112,5140718,Market,Filled,73817477.585264,Warning: No quote information available at 06/10/2019 11:00:00 America/New_York, order filled using TradeBar data 
2019-07-15T15:00:00Z,TQQQ,16.731894864,-36724,Market,Filled,-614462.10698554,Warning: No quote information available at 07/15/2019 11:00:00 America/New_York, order filled using TradeBar data 
